organism,seed,objective_value_fba,objective_value_mp_indicator,objective_value_mp_bigm
e_coli_core,2,NaN,NaN,NaN
iAF1260,1,0.0,0.295102,0.0
iAF1260,2,0.0,0.503563,0.0
iAF1260,3,0.0,0.54794,0.0
iAF692,2,0.0,0.035853,0.035847
iJO1366,1,0.0,0.852785,0.0
iJO1366,2,0.0,0.60733,0.0
iJO1366,3,0.0,0.697553,0.0
iJR904,1,0.226564,0.226712,0.226625
iJR904,2,0.644999,0.645316,0.644962
iJR904,3,1.147037,1.147577,1.147088
iML1515,1,0.0,0.414168,0.0
iML1515,2,0.0,0.285102,0.0
iML1515,3,0.0,0.701247,0.0
iMM904,1,1.430006,1.430424,1.429976
iMM904,2,0.989543,0.989894,0.989552
iMM904,3,0.850748,0.851167,0.850763
iNF517,2,0.643118,0.643452,0.64314
iNF517,3,1.332691,1.330877,1.330482
iSDY_1059,1,0.0,0.380476,0.0
iSDY_1059,2,0.0,0.750856,0.0
iSDY_1059,3,0.0,0.366399,0.0
iSFV_1184,1,0.0,0.490092,0.0
iSFV_1184,2,0.0,0.625144,0.0
iSFV_1184,3,0.0,0.389669,0.0
iSF_1195,1,0.0,0.586005,0.0
iSF_1195,2,0.0,0.197277,0.0
iSF_1195,3,0.0,0.238711,0.0
iS_1188,1,0.0,0.360482,0.0
iS_1188,2,0.0,0.190427,0.0
iS_1188,3,0.0,0.511801,0.0
iSbBS512_1146,1,0.0,0.307186,0.0
iSbBS512_1146,2,0.0,0.40402,0.0
iSbBS512_1146,3,0.0,0.254652,0.0
